"filename", "language", "Vue", "JavaScript", "CSS", "comment", "blank", "total"
"d:\Documents\Capstonefrontend\frontend_capstone\src\App.vue", "Vue", 51, 0, 0, 2, 3, 56
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\ListHistories\logintablehistory.vue", "Vue", 123, 0, 0, 0, 4, 127
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\TextField\TextField.vue", "Vue", 15, 0, 0, 0, 2, 17
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\admin_dashboard\ActivityLogs\product_activation_logs\prodactivationlogs.vue", "Vue", 67, 0, 0, 0, 2, 69
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\admin_dashboard\ActivityLogs\product_archives\ProductArchives.vue", "Vue", 82, 0, 0, 0, 2, 84
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\admin_dashboard\ActivityLogs\usermanagement_logs\usermanagementarchives.vue", "Vue", 50, 0, 0, 0, 2, 52
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\admin_dashboard\ActivityLogs\usermanagement_logs\usermanagementlogs.vue", "Vue", 65, 0, 0, 0, 2, 67
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\admin_dashboard\admin_dashboard_content\DiscountManagement\discountManagement.vue", "Vue", 47, 0, 0, 0, 2, 49
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\admin_dashboard\admin_dashboard_content\dashboard_content.vue", "Vue", 202, 0, 0, 0, 5, 207
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\admin_dashboard\admin_dashboard_content\dashboard_user_management.vue", "Vue", 1010, 0, 0, 9, 56, 1075
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\admin_dashboard\admin_dashboard_content\excel_template\excel_template_content.vue", "Vue", 283, 0, 0, 4, 18, 305
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\admin_dashboard\admin_dashboard_content\inventoryReports\inventoryReports.vue", "Vue", 349, 0, 0, 2, 14, 365
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\admin_dashboard\admin_dashboard_content\moresettings\moresystemsettings.vue", "Vue", 371, 0, 0, 0, 12, 383
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\admin_dashboard\admin_dashboard_content\prodbundle\productbundle.vue", "Vue", 12, 0, 0, 300, 0, 312
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\admin_dashboard\admin_dashboard_content\prodbundle\productbundleList.vue", "Vue", 83, 0, 0, 0, 7, 90
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\admin_dashboard\admin_dashboard_content\product_activator\product_activator_final.vue", "Vue", 915, 0, 0, 5, 34, 954
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\admin_dashboard\admin_dashboard_content\product_category\product_categ.vue", "Vue", 610, 0, 0, 0, 25, 635
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\admin_dashboard\admin_dashboard_content\product_final\product_final_content.vue", "Vue", 48, 0, 0, 758, 0, 806
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\admin_dashboard\admin_dashboard_content\product_inventory\add_inventory.vue", "Vue", 51, 0, 0, 1147, 0, 1198
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\admin_dashboard\admin_dashboard_content\product_inventory\allproduct.vue", "Vue", 206, 0, 0, 189, 9, 404
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\admin_dashboard\admin_dashboard_content\product_inventory\inventoryui.vue", "Vue", 216, 0, 0, 0, 17, 233
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\admin_dashboard\admin_dashboard_content\product_supplier\supplier.vue", "Vue", 44, 0, 0, 1027, 0, 1071
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\admin_dashboard\admin_dashboard_content\profilemanagement\profilecontent.vue", "Vue", 11, 0, 0, 222, 0, 233
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\admin_dashboard\admin_dashboard_content\purchase_order_content\purchase_order.vue", "Vue", 483, 0, 0, 4, 22, 509
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\admin_dashboard\admin_dashboard_content\purchase_received\received_order.vue", "Vue", 413, 0, 0, 0, 24, 437
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\admin_dashboard\admin_dashboard_content\return_orders_content\returnOrders.vue", "Vue", 220, 0, 0, 0, 23, 243
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\admin_dashboard\admin_dashboard_content\sales\prodsales.vue", "Vue", 345, 0, 0, 0, 21, 366
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\admin_dashboard\admin_dashboard_content\stocksonhand\stocks_on_hand.vue", "Vue", 956, 0, 0, 15, 22, 993
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\admin_dashboard\admin_dashboard_content\system_histories\histories.vue", "Vue", 264, 0, 0, 1, 7, 272
